name,id,waterbody,month,year,Lat,Long,type,turbidity,SAL,WT
Neuendorf,112350018,Sehrowbach,5,2005,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,14.3
Barth,103070014,Barthe,6,2005,54.3663863698681,12.6874701057115,Freshwater,,0.701478030562222,14.8
Kemnitz,105210010,Ziese,6,2005,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,16.9
Wolgast,111140027,Ziese,6,2005,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,19.3
Neuendorf,112350018,Sehrowbach,6,2005,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,16.7
Barth,103070014,Barthe,7,2005,54.3663863698681,12.6874701057115,Freshwater,,0.701478030562222,21.4
Kemnitz,105210010,Ziese,7,2005,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,18.9
Wolgast,111140027,Ziese,7,2005,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,20.1
Neuendorf,112350018,Sehrowbach,7,2005,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,18.6
Barth,103070014,Barthe,8,2005,54.3663863698681,12.6874701057115,Freshwater,,0.701478030562222,19.1
Kemnitz,105210010,Ziese,8,2005,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,15.5
Wolgast,111140027,Ziese,8,2005,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,16.4
Neuendorf,112350018,Sehrowbach,8,2005,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,19.3
Barth,103070014,Barthe,9,2005,54.3663863698681,12.6874701057115,Freshwater,,0.701478030562222,14.6
Kemnitz,105210010,Ziese,9,2005,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,14.7
Wolgast,111140027,Ziese,9,2005,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,17
Neuendorf,112350018,Sehrowbach,9,2005,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,15.2
Barth,103070014,Barthe,10,2005,54.3663863698681,12.6874701057115,Freshwater,,0.701478030562222,11.4
Kemnitz,105210010,Ziese,10,2005,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,11.5
Wolgast,111140027,Ziese,10,2005,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,12.3
Neuendorf,112350018,Sehrowbach,10,2005,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,7.5
Barth,103070014,Barthe,11,2005,54.3663863698681,12.6874701057115,Freshwater,,0.701478030562222,3.7
Kemnitz,105210010,Ziese,11,2005,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,8.8
Wolgast,111140027,Ziese,11,2005,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,8.8
Neuendorf,112350018,Sehrowbach,11,2005,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,6.6
Barth,103070014,Barthe,12,2005,54.3663863698681,12.6874701057115,Freshwater,,0.701478030562222,1.2
Kemnitz,105210010,Ziese,12,2005,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,3.8
Wolgast,111140027,Ziese,12,2005,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,3.7
Neuendorf,112350018,Sehrowbach,12,2005,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,3.7
Kemnitz,105210010,Ziese,1,2006,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,1.5
Wolgast,111140027,Ziese,1,2006,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,1.2
Neuendorf,112350018,Sehrowbach,1,2006,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,1.5
Kemnitz,105210010,Ziese,2,2006,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,0.3
Wolgast,111140027,Ziese,2,2006,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,0.4
Neuendorf,112350018,Sehrowbach,2,2006,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,0.2
Kemnitz,105210010,Ziese,3,2006,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,6.5
Wolgast,111140027,Ziese,3,2006,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,6.5
Neuendorf,112350018,Sehrowbach,3,2006,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,4.9
