ID,ID2,sex,TL_mm,rad_mm,waterbody,lifeyear,phenotype_char,phenotype_num,genotype_num
BH-01803,48,m,600,0.7067,WRB,3,BW-resident,4,2
BH-01803,48,m,600,0.9099,WRB,4,BW-resident,4,2
BH-01809,49,m,520,0.4117,WRB,1,BW-resident,4,2
BH-01809,49,m,520,0.5322,WRB,2,BW-resident,4,2
BH-01809,49,m,520,0.7607,WRB,3,BW-resident,4,2
BH-01812,50,f,1020,0.4215,WRB,1,BW-resident,4,2
BH-01812,50,f,1020,0.6332,WRB,2,BW-resident,4,2
BH-01812,50,f,1020,0.8462,WRB,3,BW-resident,4,2
BH-01812,50,f,1020,1.1385,WRB,4,BW-resident,4,2
BH-01812,50,f,1020,1.2723,WRB,5,BW-resident,4,2
BH-01812,50,f,1020,1.4113,WRB,6,BW-resident,4,2
BH-01812,50,f,1020,1.5243,WRB,7,BW-resident,4,2
BH-01814,51,m,780,0.3263,WRB,1,BW-resident,4,2
BH-01814,51,m,780,0.5887,WRB,2,BW-resident,4,2
BH-01814,51,m,780,0.8708,WRB,3,BW-resident,4,2
BH-01814,51,m,780,1.1435,WRB,4,BW-resident,4,2
BH-01814,51,m,780,1.3553,WRB,5,BW-resident,4,2
BH-01814,51,m,780,1.5584,WRB,6,BW-resident,4,2
BH-01819,52,m,680,0.3961,WRB,1,BW-resident,4,
BH-01819,52,m,680,0.7673,WRB,2,BW-resident,4,
BH-01819,52,m,680,0.916,WRB,3,BW-resident,4,
BH-01819,52,m,680,1.188,WRB,4,BW-resident,4,
BH-01835,53,m,820,0.4102,WRB,1,BW-resident,4,2
BH-01835,53,m,820,0.6737,WRB,2,BW-resident,4,2
BH-01835,53,m,820,0.8258,WRB,3,BW-resident,4,2
BH-01835,53,m,820,1.0183,WRB,4,BW-resident,4,2
BH-01835,53,m,820,1.1226,WRB,5,BW-resident,4,2
BH-01835,53,m,820,1.2146,WRB,6,BW-resident,4,2
BH-01835,53,m,820,1.3616,WRB,7,BW-resident,4,2
BH-01846,54,f,880,0.5636,NRB,1,BW-resident,4,2
BH-01846,54,f,880,0.7964,NRB,2,BW-resident,4,2
BH-01846,54,f,880,0.9192,NRB,3,BW-resident,4,2
BH-01846,54,f,880,1.0288,NRB,4,BW-resident,4,2
BH-01846,54,f,880,1.1647,NRB,5,BW-resident,4,2
BH-01846,54,f,880,1.3751,NRB,6,BW-resident,4,2
BH-01846,54,f,880,1.5135,NRB,7,BW-resident,4,2
BH-01846,54,f,880,1.6338,NRB,8,BW-resident,4,2
BH-01846,54,f,880,1.72,NRB,9,BW-resident,4,2
BH-01846,54,f,880,1.8828,NRB,10,BW-resident,4,2
BH-01846,54,f,880,1.9857,NRB,11,BW-resident,4,2
BH-01846,54,f,880,2.1308,NRB,12,BW-resident,4,2
BH-01850,55,f,910,0.564,NRB,1,BW-resident,4,
BH-01850,55,f,910,0.8965,NRB,2,BW-resident,4,
BH-01850,55,f,910,1.0584,NRB,3,BW-resident,4,
BH-01850,55,f,910,1.2403,NRB,4,BW-resident,4,
BH-01850,55,f,910,1.4,NRB,5,BW-resident,4,
BH-01850,55,f,910,1.4966,NRB,6,BW-resident,4,
BH-01855,56,m,722,0.3768,WRB,1,BW-resident,4,
BH-01855,56,m,722,0.6229,WRB,2,BW-resident,4,
BH-01855,56,m,722,0.7791,WRB,3,BW-resident,4,
BH-01855,56,m,722,0.9353,WRB,4,BW-resident,4,
BH-01855,56,m,722,1.0715,WRB,5,BW-resident,4,
BH-01855,56,m,722,1.2415,WRB,6,BW-resident,4,
BH-01855,56,m,722,1.3462,WRB,7,BW-resident,4,
BH-01855,56,m,722,1.4667,WRB,8,BW-resident,4,
BH-01860,57,f,940,0.4555,WRB,1,BW-resident,4,2
BH-01860,57,f,940,0.7192,WRB,2,BW-resident,4,2
BH-01860,57,f,940,0.9673,WRB,3,BW-resident,4,2
BH-01860,57,f,940,1.1777,WRB,4,BW-resident,4,2
BH-01860,57,f,940,1.3011,WRB,5,BW-resident,4,2
BH-01860,57,f,940,1.4401,WRB,6,BW-resident,4,2
BH-01860,57,f,940,1.6167,WRB,7,BW-resident,4,2
BH-01867,58,f,820,0.4642,WRB,1,BW-resident,4,2
BH-01867,58,f,820,0.6903,WRB,2,BW-resident,4,2
BH-01867,58,f,820,0.8947,WRB,3,BW-resident,4,2
BH-01867,58,f,820,1.116,WRB,4,BW-resident,4,2
BH-01867,58,f,820,1.2688,WRB,5,BW-resident,4,2
BH-01867,58,f,820,1.3532,WRB,6,BW-resident,4,2
BH-01868,59,f,1010,0.3876,WRB,1,BW-resident,4,2
BH-01868,59,f,1010,0.6338,WRB,2,BW-resident,4,2
BH-01868,59,f,1010,0.7618,WRB,3,BW-resident,4,2
BH-01868,59,f,1010,0.9106,WRB,4,BW-resident,4,2
BH-01868,59,f,1010,1.0629,WRB,5,BW-resident,4,2
BH-01868,59,f,1010,1.17,WRB,6,BW-resident,4,2
BH-01868,59,f,1010,1.2658,WRB,7,BW-resident,4,2
BH-01868,59,f,1010,1.3176,WRB,8,BW-resident,4,2
BH-01868,59,f,1010,1.4501,WRB,9,BW-resident,4,2
BH-01869,60,f,730,0.5187,WRB,1,BW-resident,4,2
BH-01869,60,f,730,0.7065,WRB,2,BW-resident,4,2
BH-01869,60,f,730,0.865,WRB,3,BW-resident,4,2
BH-01882,61,f,670,0.5221,GB,1,Trans-habitat,3,2
BH-01882,61,f,670,0.7894,GB,2,Trans-habitat,3,2
BH-01883,62,f,870,0.4447,GB,1,BW-resident,4,2
BH-01883,62,f,870,0.6956,GB,2,BW-resident,4,2
BH-01883,62,f,870,0.892,GB,3,BW-resident,4,2
BH-01883,62,f,870,1.0303,GB,4,BW-resident,4,2
BH-01883,62,f,870,1.1959,GB,5,BW-resident,4,2
BH-01885,63,f,796,0.4967,GB,1,BW-resident,4,2
BH-01885,63,f,796,0.725,GB,2,BW-resident,4,2
BH-01889,64,f,837,0.5365,GB,1,Trans-habitat,3,2
BH-01889,64,f,837,0.8352,GB,2,Trans-habitat,3,2
BH-01889,64,f,837,1.0354,GB,3,Trans-habitat,3,2
BH-01889,64,f,837,1.263,GB,4,Trans-habitat,3,2
BH-01891,65,f,870,0.3997,GB,1,BW-resident,4,4
BH-01891,65,f,870,0.6182,GB,2,BW-resident,4,4
BH-01891,65,f,870,0.7595,GB,3,BW-resident,4,4
BH-01891,65,f,870,0.8946,GB,4,BW-resident,4,4
BH-01891,65,f,870,1.0117,GB,5,BW-resident,4,4
BH-01891,65,f,870,1.1377,GB,6,BW-resident,4,4
BH-01891,65,f,870,1.2875,GB,7,BW-resident,4,4
BH-01891,65,f,870,1.3784,GB,8,BW-resident,4,4
BH-01892,66,m,635,0.5527,GB,1,BW-resident,4,2
BH-01892,66,m,635,0.8023,GB,2,BW-resident,4,2
BH-01893,67,m,650,0.4727,GB,1,Trans-habitat,3,2
BH-01893,67,m,650,0.5957,GB,2,Trans-habitat,3,2
BH-01893,67,m,650,0.8219,GB,3,Trans-habitat,3,2
BH-01897,68,m,600,0.5848,GB,1,Trans-habitat,3,2
BH-01897,68,m,600,0.8223,GB,2,Trans-habitat,3,2
BH-01898,69,f,700,0.6267,GB,1,Trans-habitat,3,2
BH-01898,69,f,700,0.8572,GB,2,Trans-habitat,3,2
BH-01899,70,f,760,0.4777,GB,1,Trans-habitat,3,2
BH-01899,70,f,760,0.7128,GB,2,Trans-habitat,3,2
BH-01900,71,f,825,0.519,GB,1,Trans-habitat,3,2
BH-01900,71,f,825,0.7667,GB,2,Trans-habitat,3,2
BH-01900,71,f,825,1.0472,GB,3,Trans-habitat,3,2
BH-01902,72,m,500,0.6689,GB,1,BW-resident,4,2
BH-01902,72,m,500,0.9095,GB,2,BW-resident,4,2
BH-01903,73,f,439,0.629,GB,1,BW-resident,4,
BH-01904,74,f,404,0.73,GB,1,BW-resident,4,4
BH-01906,75,f,1230,0.3531,WRB,1,BW-resident,4,2
BH-01906,75,f,1230,0.6358,WRB,2,BW-resident,4,2
BH-01906,75,f,1230,0.7796,WRB,3,BW-resident,4,2
BH-01906,75,f,1230,0.9415,WRB,4,BW-resident,4,2
BH-01906,75,f,1230,1.0943,WRB,5,BW-resident,4,2
BH-01906,75,f,1230,1.2409,WRB,6,BW-resident,4,2
BH-01906,75,f,1230,1.3736,WRB,7,BW-resident,4,2
BH-01906,75,f,1230,1.4906,WRB,8,BW-resident,4,2
BH-01906,75,f,1230,1.5966,WRB,9,BW-resident,4,2
BH-01906,75,f,1230,1.6964,WRB,10,BW-resident,4,2
BH-01906,75,f,1230,1.835,WRB,11,BW-resident,4,2
BH-01906,75,f,1230,1.9315,WRB,12,BW-resident,4,2
BH-01906,75,f,1230,2.0552,WRB,13,BW-resident,4,2
BH-01922,76,f,1262,0.3492,WRB,1,BW-resident,4,2
BH-01922,76,f,1262,0.5917,WRB,2,BW-resident,4,2
BH-01922,76,f,1262,0.779,WRB,3,BW-resident,4,2
BH-01922,76,f,1262,0.9318,WRB,4,BW-resident,4,2
BH-01922,76,f,1262,1.0936,WRB,5,BW-resident,4,2
BH-01922,76,f,1262,1.2406,WRB,6,BW-resident,4,2
BH-01922,76,f,1262,1.3621,WRB,7,BW-resident,4,2
BH-01922,76,f,1262,1.4869,WRB,8,BW-resident,4,2
BH-01922,76,f,1262,1.5926,WRB,9,BW-resident,4,2
BH-01922,76,f,1262,1.6877,WRB,10,BW-resident,4,2
BH-01922,76,f,1262,1.7554,WRB,11,BW-resident,4,2
BH-51614,77,f,885,0.3288,Tributary,1,Anadromous,2,1
BH-51614,77,f,885,0.5272,Tributary,2,Anadromous,2,1
BH-51614,77,f,885,0.8276,Tributary,3,Anadromous,2,1
BH-51614,77,f,885,1.0447,Tributary,4,Anadromous,2,1
BH-51614,77,f,885,1.1949,Tributary,5,Anadromous,2,1
BH-51614,77,f,885,1.3482,Tributary,6,Anadromous,2,1
BH-51614,77,f,885,1.4883,Tributary,7,Anadromous,2,1
BH-51614,77,f,885,1.6113,Tributary,8,Anadromous,2,1
BH-51614,77,f,885,1.7486,Tributary,9,Anadromous,2,1
BH-90307,78,f,900,0.3833,WRB,1,BW-resident,4,2
BH-90307,78,f,900,0.5527,WRB,2,BW-resident,4,2
BH-90307,78,f,900,0.7504,WRB,3,BW-resident,4,2
BH-90307,78,f,900,0.9008,WRB,4,BW-resident,4,2
BH-90307,78,f,900,1.0154,WRB,5,BW-resident,4,2
BH-90307,78,f,900,1.1325,WRB,6,BW-resident,4,2
BH-90307,78,f,900,1.2501,WRB,7,BW-resident,4,2
BH-90910,79,m,604,0.4868,Tributary,1,Anadromous,2,1
BH-90910,79,m,604,0.7031,Tributary,2,Anadromous,2,1
BH-90910,79,m,604,0.8633,Tributary,3,Anadromous,2,1
BH-90910,79,m,604,0.9928,Tributary,4,Anadromous,2,1
BH-90910,79,m,604,1.1206,Tributary,5,Anadromous,2,1
BH-90928,80,m,580,0.3762,Tributary,1,Anadromous,2,3
BH-90928,80,m,580,0.6419,Tributary,2,Anadromous,2,3
BH-90928,80,m,580,0.893,Tributary,3,Anadromous,2,3
BH-90946,81,m,694,0.4097,Tributary,1,Anadromous,2,2
BH-90946,81,m,694,0.6198,Tributary,2,Anadromous,2,2
BH-90946,81,m,694,0.8257,Tributary,3,Anadromous,2,2
BH-90946,81,m,694,0.9746,Tributary,4,Anadromous,2,2
BH-90946,81,m,694,1.0976,Tributary,5,Anadromous,2,2
BH-90946,81,m,694,1.2156,Tributary,6,Anadromous,2,2
BH-90970,82,m,634,0.3374,Tributary,1,Trans-habitat,3,3
BH-90970,82,m,634,0.5769,Tributary,2,Trans-habitat,3,3
BH-90970,82,m,634,0.7439,Tributary,3,Trans-habitat,3,3
BH-90970,82,m,634,0.8726,Tributary,4,Trans-habitat,3,3
BH-90970,82,m,634,1.0095,Tributary,5,Trans-habitat,3,3
