fish_ID,waterbody,TL_mm,phenotype,sex,genotype,d18O,Sr,lifeyear,s_index
BH-91571,Tributary,896,FW_resident,f,"",-5.24135847988938,1.92949685534591,4,0.149408822711414
BH-91571,Tributary,896,FW_resident,f,"",-5.35324726658827,1.97519916142558,4,0.149408822711414
BH-91571,Tributary,896,FW_resident,f,"",-5.6810894098096,1.99880503144654,4,0.149408822711414
BH-91571,Tributary,896,FW_resident,f,"",-6.110867719228,2.31545073375262,4,0.149408822711414
BH-91571,Tributary,896,FW_resident,f,"",-6.46604411035204,2.14589098532495,4,0.149408822711414
BH-91571,Tributary,896,FW_resident,f,"",-7.04362935332776,2.19220125786163,5,0.149408822711414
BH-91571,Tributary,896,FW_resident,f,"",-7.15818499863076,2.28610062893082,5,0.149408822711414
BH-91571,Tributary,896,FW_resident,f,"",-7.69569772090909,2.03675052410901,5,0.149408822711414
BH-91571,Tributary,896,FW_resident,f,"",-7.79000793409117,1.92088050314465,5,0.149408822711414
BH-91571,Tributary,896,FW_resident,f,"",-6.73818862726251,1.90570230607966,5,0.149408822711414
BH-91571,Tributary,896,FW_resident,f,"",-6.53516189188393,1.93867924528302,5,0.149408822711414
BH-91571,Tributary,896,FW_resident,f,"",-6.51317948320529,1.77706498951782,5,0.149408822711414
BH-91571,Tributary,896,FW_resident,f,"",-6.08384887260269,1.75750524109015,5,0.149408822711414
BH-91571,Tributary,896,FW_resident,f,"",-6.10782212851338,1.83905660377358,6,0.149408822711414
BH-91571,Tributary,896,FW_resident,f,"",-5.31113040423473,2.13310272536687,6,0.149408822711414
BH-91571,Tributary,896,FW_resident,f,"",-5.54448240124419,2.44513626834381,6,0.149408822711414
BH-91571,Tributary,896,FW_resident,f,"",-5.6990337325618,2.34287211740042,7,0.149408822711414
BH-91571,Tributary,896,FW_resident,f,"",-5.28325000370272,2.09989517819706,7,0.149408822711414
BH-91571,Tributary,896,FW_resident,f,"",-5.64007710367623,2.32062893081761,7,0.149408822711414
